node,year,latitude,longitude
mario-prassinos,1920,41.0082,28.9784
franz-kline,1920,40.8312,-75.733
jackson-pollock,1920,44.5263,-109.0565
hans-hofmann,1920,48.1351,11.582
brion-gysin,1920,53.5461,-113.4938
antonio-corpora,1920,36.8065,10.1815
lajos-gulacsy,1920,47.497913,19.040236
paul-klee,1920,47.0248,7.4696
xul-solar,1920,-34.4506,-58.566
man-ray,1920,40.7081,-73.9385
francis-picabia,1920,48.8566,2.3522
georges-papazoff,1920,48.1351,11.582
jindrich-styrsky,1920,50.1431,16.2825
valentine-hugo,1920,48.8566,2.3522
edward-wadsworth,1920,53.704,-1.712
pierre-roy,1920,48.8566,2.3522
sven-jonson,1920,56.6745,12.8569
albin-egger-lienz,1920,46.57,11.42
boleslas-biegas,1920,48.8566,2.3522
edward-weston,1920,34.1425,-118.2551
leon-arthur-tutundjian,1920,41.0082,28.9784
josef-sima,1920,50.0755,14.4378
rene-magritte,1920,50.6361,3.8356
yves-tanguy,1920,48.8656,2.3211
enrico-prampolini,1920,44.647128,10.925227
le-corbusier,1920,48.8566,2.3522
claude-cahun,1920,48.8566,2.3522
paul-nash,1920,50.949,0.968
felix-labisse,1920,50.367,3.222
maurice-tabard,1920,40.712776,-74.005974
angel-planells,1920,42.2875,3.2786
eileen-agar,1920,-34.6037,-58.3816
william-baziotes,1920,40.335627,-75.926875
hedda-sterne,1920,44.4268,26.1025
abidin-dino,1920,46.2044,6.1432
serge-brignoni,1920,46.948,7.4474
kansuke-yamamoto,1920,35.1667,136.9067
brassai,1920,52.52,13.405
dora-maar,1920,-34.6037,-58.3816
john-heartfield,1920,52.52,13.405
georges-braque,1920,49.734,0.633
jacques-herold,1920,45.4353,28.0078
frantisek-hudecek,1920,49.4933,17.07
carlos-merida,1920,19.4326,-99.1332
paul-delvaux,1920,50.636,5.245
alberto-giacometti,1920,46.3236,9.8841
maria-helena-vieira-da-silva,1920,38.7223,-9.1393
max-beckmann,1920,51.3397,12.3731
arshile-gorky,1920,41.8236,-71.4128
m-h-maxy,1920,44.4268,26.1025
wols,1920,51.0504,13.7373
balthus,1920,46.2044,6.1432
oscar-dominguez,1920,28.4689,-16.3086
meret-oppenheim,1920,47.3661,7.3504
alberto-da-veiga-guignard,1920,-22.286,-42.5316
georges-hugnet,1920,0.0,0.0
raoul-ubac,1920,50.9375,6.9603
lorser-feitelson,1920,40.7128,-74.006
toyen,1920,50.0647,14.3984
jacques-villon,1920,48.8833,2.2388
esteban-frances,1920,42.2679,2.9649
alfred-manessier,1920,50.106,1.833
remedios-varo,1920,41.962,2.637
hans-bellmer,1920,50.2599,19.0216
joseph-cornell,1920,40.7591,-73.8301
richard-oelze,1920,52.1205,11.6276
jacqueline-lamba,1920,48.8566,2.3522
leonor-fini,1920,45.6495,13.7768
roberto-matta,1920,-33.4489,-70.6693
grace-pailthorpe,1920,50.854,0.571
marcel-marien,1920,51.2194,4.4025
jock-macdonald,1920,58.593,-3.525
frederick-sommer,1920,40.7333,14.65
conroy-maddox,1920,52.035,-2.447
leonora-carrington,1920,53.967,-2.837
marcel-duchamp,1920,49.62,0.94
endre-rozsda,1920,47.4979,19.0402
wifredo-lam,1920,23.1136,-82.3666
kay-sage,1920,44.3499,9.229
mark-rothko,1920,45.5152,-122.6784
philippe-halsman,1920,56.9496,24.1052
antonio-dacosta,1920,38.6553,-27.222
jimmy-ernst,1920,50.9375,6.9603
enrico-donati,1920,45.4642,9.19
dorothea-tanning,1920,40.9478,-90.371
gunther-gerzso,1920,19.4326,-99.1332
luchita-hurtado,1920,10.6033,-66.9869
david-hare,1920,40.7128,-74.006
piroska-szanto,1920,46.7039,19.6973
felix-del-marle,1920,48.8566,2.3522
gherasim-luca,1920,44.4268,26.1025
etienne-hajdu,1920,46.5483,23.7826
conrad-marca-relli,1920,42.3601,-71.0589
balcomb-greene,1920,42.2387,-73.3447
elmer-bischoff,1920,37.8716,-122.2727
tamara-de-lempicka,1920,48.8566,2.3522
sidney-nolan,1920,-37.8675,144.9786
endre-balint,1920,47.4979,19.0402
louise-bourgeois,1920,48.7746,2.4153
saul-steinberg,1920,45.3167,27.0167
yves-laloy,1920,48.117266,-1.6777926
helene-de-beauvoir,1920,46.2276,2.2137
yasuo-kuniyoshi,1920,40.7128,-74.006
rita-angus,1920,-39.639,176.849
mathias-goeritz,1920,52.52,13.405
max-walter-svanberg,1920,55.605,13.0038
kazimierz-mikulski,1920,50.06465,19.94498
leo-gausson,1920,48.8566,2.3522
medardo-rosso,1920,45.4642,9.19
suzanne-valadon,1920,48.8867,2.3431
louis-hayet,1920,48.8566,2.3522
emile-bernard,1920,48.8566,2.3522
pierre-bonnard,1920,48.8566,2.3522
john-peter-russell,1920,-33.8735,151.2195
maurice-denis,1920,48.8967,2.089
edouard-vuillard,1920,48.854,2.209
paul-serusier,1920,48.8566,2.3522
gustave-loiseau,1920,48.8566,2.3522
felix-vallotton,1920,43.6633,7.1402
santiago-rusinol,1920,41.2379,1.8035
george-henry,1920,55.8642,-4.2518
jozef-pankiewicz,1920,50.0647,19.945
jules-alexandre-grun,1920,48.8566,2.3522
maximilien-luce,1920,48.8867,2.3431
jozsef-rippl-ronai,1920,46.3597,17.7922
roger-fry,1920,51.5074,-0.1278
albert-marquet,1920,48.8566,2.3522
charles-cottet,1920,48.8566,2.3522
cuno-amiet,1920,47.12,7.617
konstantin-gorbatov,1920,59.9343,30.3351
alexandre-benois,1920,59.9342802,30.3350986
walter-sickert,1920,49.922617,1.077522
henri-martin,1920,44.4478,1.4363
jacek-malczewski,1920,50.0647,19.945
samuel-peploe,1920,55.9533,-3.1883
piet-mondrian,1920,48.8566,2.3522
gwen-john,1920,48.807,2.237
emilie-charmy,1920,48.8566,2.3522
jozef-mehoffer,1920,50.0517,21.6022
pyotr-konchalovsky,1920,55.7558,37.6173
konstantin-yuon,1920,55.7558,37.6173
augustus-john,1920,51.4906,-0.1584
theo-van-doesburg,1920,52.090737,5.12142
william-orpen,1920,48.8566,2.3522
kuzma-petrov-vodkin,1920,55.7558,37.6173
theo-van-rysselberghe,1920,43.134,6.434
janos-tornyai,1920,47.4979,19.0402
anna-ostroumova-lebedeva,1920,59.9342802,30.3350986
c-r-w-nevinson,1920,51.5565,-0.1781
pekka-halonen,1920,60.472,25.03
wassily-kandinsky,1920,51.838,12.2425
othon-friesz,1920,48.8566,2.3522
alfred-william-finch,1920,60.1699,24.9384
george-washington-lambert,1920,51.5074,-0.1278
edouard-cortes,1920,48.88611,2.71639
auguste-herbin,1920,48.8566,2.3522
konstantinos-parthenis,1920,37.9838,23.7275
bela-czobel,1920,47.4979,19.0402
henri-manguin,1920,43.1242,5.928
abraham-manievich,1920,54.0217,30.1769
jacques-emile-blanche,1920,48.8556,2.2744
oleksandr-bogomazov,1920,50.278,30.35
arthur-beecher-carles,1920,39.9526,-75.1652
agnes-goodsir,1920,51.5074,-0.1278
gabriele-munter,1920,47.6878,11.3161
maurice-de-vlaminck,1920,48.6036,1.34
serge-sudeikin,1920,48.8566,2.3522
henri-le-fauconnier,1920,48.8566,2.3522
max-pechstein,1920,52.52,13.405
emily-carr,1920,48.4284,-123.3656
edvard-weie,1920,55.6761,12.5683
mikhail-nesterov,1920,55.7558,37.6173
arthur-segal,1920,44.4268,26.1025
andre-lhote,1920,48.8566,2.3522
lajos-tihanyi,1920,52.520008,13.404954
ilya-mashkov,1920,55.7558,37.6173
harry-phelan-gibb,1920,55.4126,-1.7058
grace-cossington-smith,1920,-33.717,151.138
j-e-h-macdonald,1920,43.7767,-79.4354
aristarkh-lentulov,1920,55.7558,37.6173
marianne-stokes,1920,51.5074,-0.1278
asgrimur-jonsson,1920,64.9631,-19.0208
maurice-utrillo,1920,48.8867,2.3431
paul-henry,1920,53.3498,-6.2603
nicolae-darascu,1920,43.9037,25.9692
eugeniusz-zak,1920,50.8118,19.1203
thomas-hart-benton,1920,40.7128,-74.006
moise-kisling,1920,48.8566,2.3522
ion-theodorescu-sion,1920,44.4268,26.1025
leon-kroll,1920,40.7128,-74.006
luc-olivier-merson,1920,48.8566,2.3522
max-klinger,1920,51.175,11.88
fernand-khnopff,1920,50.8503,4.3517
franz-stuck,1920,48.137154,11.576124
akseli-gallen-kallela,1920,61.485,21.797
rupert-bunny,1920,48.8566,2.3522
carlos-schwabe,1920,48.8566,2.3522
ferdinand-du-puigaudeau,1920,47.293,-2.405
jan-toorop,1920,52.0705,4.3007
edvard-munch,1920,60.79,11.5167
arkady-rylov,1920,59.9343,30.3351
alphonse-mucha,1920,50.0755,14.4378
frantisek-kupka,1920,48.8794,2.2376
john-duncan,1920,55.9533,-3.1883
vardges-sureniants,1920,44.498,34.165
eliseu-visconti,1920,-22.9068,-43.1729
zinaida-serebriakova,1920,59.9343,30.3351
ferdynand-ruszczyc,1920,54.6872,25.2797
maxfield-parrish,1920,43.335,-72.259
alfred-kubin,1920,48.483,13.998
antonio-carneiro,1920,41.1495,-8.6108
anna-ancher,1920,57.72,10.5833
leon-spilliaert,1920,50.8503,4.3517
gustav-adolf-mossa,1920,43.710173,7.261953
henry-ossawa-tanner,1920,48.8566,2.3522
hermann-hendrich,1920,50.834,15.526
jan-mankes,1920,52.693,6.178
julio-romero-de-torres,1920,40.4168,-3.7038
roger-de-la-fresnaye,1920,43.6605,6.9253
austin-osman-spare,1920,51.5175,-0.1027
willy-schlobach,1920,47.586,9.688
albert-bloch,1920,51.1657,10.4515
fedir-krychevsky,1920,50.4501,30.5234
hilma-af-klint,1920,59.36,18.0
frank-johnston,1920,49.8951,-97.1384
panos-terlemezian,1920,48.8566,2.3522
lawren-harris,1920,43.6532,-79.3832
georgi-mashev,1920,42.6977,23.3219
charles-e-burchfield,1920,40.9012,-80.853
giorgio-de-chirico,1920,41.9028,12.4964
giorgio-morandi,1920,44.494887,11.342616
felice-casorati,1920,45.0703,7.6869
carlo-carra,1920,45.4642,9.19
sandor-bortnyik,1920,46.5425,24.557
mario-sironi,1920,45.4642,9.19
filippo-de-pisis,1920,41.9028,12.4964
alberto-magnelli,1920,43.7696,11.2558
mario-tozzi,1920,48.8566,2.3522
joseph-decamp,1920,42.3601,-71.0589
xavier-martinez,1920,37.8249,-122.235
granville-redmond,1920,34.0522,-118.2437
thomas-dewing,1920,43.3862,-72.3381
leon-dabo,1920,48.7375,7.3569
max-meldrum,1920,48.8566,2.3522
theodor-philipsen,1920,55.6761,12.5683
armand-guillaumin,1920,48.7289,2.379
konstantin-korovin,1920,55.7558,37.6173
max-liebermann,1920,52.4351,13.1884
louise-abbema,1920,48.8566,2.3522
willard-metcalf,1920,43.3212,-72.1665
henri-gervex,1920,48.857,2.357
vincenzo-migliaro,1920,40.8518,14.2681
hugo-muhlig,1920,51.2277,6.7735
columbano-bordalo-pinheiro,1920,38.7223,-9.1393
karl-edvard-diriks,1920,48.8566,2.3522
joaquin-sorolla,1920,40.4168,-3.7038
philip-wilson-steer,1920,51.4875,-0.1687
paul-signac,1920,43.5804,7.125
henry-herbert-la-thangue,1920,50.977,-0.666
childe-hassam,1920,40.9634,-72.1849
t-c-steele,1920,39.1763,-86.2365
tom-roberts,1920,-37.9,145.35
isaac-israels,1920,52.370216,4.895168
tsuguharu-foujita,1920,48.84992,2.33333
christian-schad,1920,40.8518,14.2681
antonio-donghi,1920,41.9027835,12.4963655
cagnaccio-di-san-pietro,1920,45.4683,10.5322
ivan-albright,1920,42.1057,-87.7039
eric-ravilious,1920,50.768,-0.279
clarence-holbrook-carter,1920,38.7317,-82.9977
carel-willink,1920,52.370216,4.895168
francis-gruber,1920,48.6921,6.1844
eyvind-earle,1920,34.0983,-118.3267
alex-colville,1920,43.65107,-79.347015
george-tooker,1920,40.6782,-73.9442
hippolyte-petitjean,1920,48.8566,2.3522
charles-angrand,1920,49.4431,1.0993
giacomo-balla,1920,41.9028,12.4964
alexej-von-jawlensky,1920,46.8182,8.2275
lucien-pissarro,1920,51.494,-0.266
jean-metzinger,1920,47.218371,-1.553621
georges-ribemont-dessaignes,1920,43.610769,3.876716
marsden-hartley,1920,42.0584,-70.178
gerardo-dottori,1920,43.1107,12.3908
georges-vantongerloo,1920,51.219448,4.402464
yeghishe-tadevosyan,1920,41.7151,44.8271
